date,total_beds,occupied_beds,admissions,discharges
2024-12-16,200,177,13,16
2024-12-17,200,153,26,16
2024-12-18,200,186,13,6
2024-12-19,200,171,14,12
2024-12-20,200,158,16,24
2024-12-21,200,154,20,16
2024-12-22,200,105,19,6
2024-12-23,200,116,15,16
2024-12-24,200,192,14,20
2024-12-25,200,152,14,5
2024-12-26,200,118,16,7
2024-12-27,200,177,14,7
2024-12-28,200,129,14,11
2024-12-29,200,173,27,21
2024-12-30,200,195,27,5
2024-12-31,200,178,12,20
2025-01-01,200,135,11,13
2025-01-02,200,123,19,23
2025-01-03,200,122,21,12
2025-01-04,200,163,20,15
2025-01-05,200,177,22,21
2025-01-06,200,190,20,23
2025-01-07,200,122,23,22
2025-01-08,200,139,18,17
2025-01-09,200,146,20,24
2025-01-10,200,128,20,21
2025-01-11,200,166,15,6
2025-01-12,200,105,18,13
2025-01-13,200,114,15,13
2025-01-14,200,193,29,25
2025-01-15,200,171,22,18
2025-01-16,200,140,27,11
2025-01-17,200,187,12,18
2025-01-18,200,180,11,5
2025-01-19,200,184,20,23
2025-01-20,200,179,18,23
2025-01-21,200,123,23,21
2025-01-22,200,195,14,19
2025-01-23,200,154,11,5
2025-01-24,200,148,21,22
2025-01-25,200,144,26,19
2025-01-26,200,156,29,20
2025-01-27,200,140,16,7
2025-01-28,200,100,20,10
2025-01-29,200,115,30,8
2025-01-30,200,196,24,25
2025-01-31,200,169,27,21
2025-02-01,200,133,12,8
2025-02-02,200,116,29,8
2025-02-03,200,182,25,6
2025-02-04,200,181,19,11
2025-02-05,200,120,13,11
2025-02-06,200,155,22,14
2025-02-07,200,153,16,18
2025-02-08,200,156,25,23
2025-02-09,200,161,25,9
2025-02-10,200,133,11,6
2025-02-11,200,121,16,6
2025-02-12,200,111,25,15
2025-02-13,200,153,19,13
2025-02-14,200,167,23,12
2025-02-15,200,147,14,10
2025-02-16,200,112,21,12
2025-02-17,200,103,26,17
2025-02-18,200,152,27,5
2025-02-19,200,145,18,24
2025-02-20,200,180,17,13
2025-02-21,200,109,23,17
2025-02-22,200,153,25,11
2025-02-23,200,158,27,25
2025-02-24,200,172,25,25
2025-02-25,200,117,10,18
2025-02-26,200,102,23,9
2025-02-27,200,124,26,19
2025-02-28,200,181,21,12
2025-03-01,200,137,30,14
2025-03-02,200,179,25,11
2025-03-03,200,160,30,14
2025-03-04,200,164,23,14
2025-03-05,200,164,18,22
2025-03-06,200,132,30,16
2025-03-07,200,105,11,15
2025-03-08,200,122,30,19
2025-03-09,200,195,25,17
2025-03-10,200,172,20,20
2025-03-11,200,196,18,10
2025-03-12,200,115,14,14
2025-03-13,200,190,18,8
2025-03-14,200,127,12,21
2025-03-15,200,189,29,22
2025-03-16,200,124,16,23
2025-03-17,200,127,18,12
2025-03-18,200,154,14,17
2025-03-19,200,168,13,16
2025-03-20,200,151,30,9
2025-03-21,200,165,12,13
2025-03-22,200,144,26,25
2025-03-23,200,194,29,6
2025-03-24,200,195,19,22
2025-03-25,200,111,13,12
2025-03-26,200,113,23,15
2025-03-27,200,141,14,18
2025-03-28,200,122,15,12
2025-03-29,200,137,30,23
2025-03-30,200,162,21,19
2025-03-31,200,101,11,14
2025-04-01,200,127,10,25
2025-04-02,200,123,11,19
2025-04-03,200,115,24,16
2025-04-04,200,103,21,10
2025-04-05,200,135,11,25
2025-04-06,200,189,22,18
2025-04-07,200,128,22,16
2025-04-08,200,135,18,21
2025-04-09,200,147,25,18
2025-04-10,200,174,17,23
2025-04-11,200,174,21,18
2025-04-12,200,184,27,23
2025-04-13,200,119,17,18
2025-04-14,200,188,20,20
2025-04-15,200,105,20,7
2025-04-16,200,177,11,17
2025-04-17,200,153,18,17
2025-04-18,200,126,14,10
2025-04-19,200,180,25,10
2025-04-20,200,111,12,15
2025-04-21,200,168,18,23
2025-04-22,200,188,18,18
2025-04-23,200,157,10,10
2025-04-24,200,179,14,22
2025-04-25,200,178,15,5
2025-04-26,200,186,30,25
2025-04-27,200,181,16,8
2025-04-28,200,196,19,18
2025-04-29,200,172,30,16
2025-04-30,200,182,30,16
2025-05-01,200,174,17,12
2025-05-02,200,188,13,5
2025-05-03,200,167,12,15
2025-05-04,200,119,30,8
2025-05-05,200,122,24,6
2025-05-06,200,194,22,25
2025-05-07,200,192,22,24
2025-05-08,200,173,20,19
2025-05-09,200,126,30,13
2025-05-10,200,167,25,14
2025-05-11,200,142,12,20
2025-05-12,200,120,19,16
2025-05-13,200,126,13,16
2025-05-14,200,161,17,21
2025-05-15,200,156,23,5
2025-05-16,200,176,21,11
2025-05-17,200,169,28,13
2025-05-18,200,166,13,18
2025-05-19,200,199,23,16
2025-05-20,200,185,14,23
2025-05-21,200,117,28,18
2025-05-22,200,183,20,23
2025-05-23,200,157,22,13
2025-05-24,200,187,12,23
2025-05-25,200,196,27,25
2025-05-26,200,164,22,8
2025-05-27,200,134,19,15
2025-05-28,200,175,16,15
2025-05-29,200,153,12,7
2025-05-30,200,158,27,19
2025-05-31,200,162,20,12
2025-06-01,200,197,17,14
2025-06-02,200,141,28,19
2025-06-03,200,149,21,13
2025-06-04,200,154,24,11
2025-06-05,200,194,28,5
2025-06-06,200,182,26,14
2025-06-07,200,168,26,23
2025-06-08,200,188,23,24
2025-06-09,200,193,13,17
2025-06-10,200,108,11,25
2025-06-11,200,130,22,16
2025-06-12,200,116,23,8
2025-06-13,200,172,24,19
2025-06-14,200,186,19,7
2025-06-15,200,105,14,12
2025-06-16,200,151,19,12
2025-06-17,200,107,15,17
2025-06-18,200,114,29,11
2025-06-19,200,112,27,17
2025-06-20,200,162,30,13
2025-06-21,200,119,16,6
2025-06-22,200,198,28,21
2025-06-23,200,160,26,18
2025-06-24,200,145,29,8
2025-06-25,200,144,16,19
2025-06-26,200,122,25,21
2025-06-27,200,124,19,10
2025-06-28,200,140,29,13
2025-06-29,200,187,27,10
2025-06-30,200,121,24,11
2025-07-01,200,153,18,15
2025-07-02,200,111,13,14
2025-07-03,200,177,21,6
2025-07-04,200,105,13,14
2025-07-05,200,184,28,18
2025-07-06,200,177,24,16
2025-07-07,200,127,20,14
2025-07-08,200,111,30,25
2025-07-09,200,169,26,20
2025-07-10,200,184,19,25
2025-07-11,200,168,21,6
2025-07-12,200,145,10,18
2025-07-13,200,107,19,13
2025-07-14,200,137,17,15
2025-07-15,200,136,26,8
2025-07-16,200,130,12,24
2025-07-17,200,141,24,19
2025-07-18,200,158,18,16
2025-07-19,200,150,10,8
2025-07-20,200,130,20,18
2025-07-21,200,130,11,18
2025-07-22,200,100,20,7
2025-07-23,200,177,19,11
2025-07-24,200,137,18,21
2025-07-25,200,120,28,24
2025-07-26,200,159,12,10
2025-07-27,200,187,10,18
2025-07-28,200,184,24,7
2025-07-29,200,117,25,14
2025-07-30,200,185,18,9
2025-07-31,200,189,12,24
2025-08-01,200,197,29,17
2025-08-02,200,150,22,12
2025-08-03,200,161,25,24
2025-08-04,200,170,21,13
2025-08-05,200,112,17,7
2025-08-06,200,139,22,17
2025-08-07,200,197,16,23
2025-08-08,200,111,27,6
2025-08-09,200,183,19,19
2025-08-10,200,169,27,16
2025-08-11,200,118,20,12
2025-08-12,200,173,11,15
2025-08-13,200,147,22,16
2025-08-14,200,115,29,25
2025-08-15,200,101,24,16
2025-08-16,200,182,21,7
2025-08-17,200,138,13,6
2025-08-18,200,149,22,12
